Date,Open,High,Low,Close,Adj Close,Volume
2018-06-25,36.208302,36.298698,33.525101,33.766300,33.766300,46858446
2018-06-26,33.766300,35.183201,33.283901,34.942101,34.942101,42668123
2018-06-27,34.972198,35.424400,32.861801,33.585400,33.585400,27450298
2018-06-28,33.585400,34.610401,33.042702,34.188301,34.188301,29327933
2018-06-29,34.972198,36.057499,33.645699,35.786201,35.786201,21911326
2018-07-02,35.514900,35.544998,33.555199,34.399399,34.399399,18522046
2018-07-03,34.821499,34.942101,33.826599,34.248600,34.248600,17076138
2018-07-04,34.248600,34.429501,33.193401,33.253700,33.253700,16894067
2018-07-05,32.982399,33.917000,32.289001,32.861801,32.861801,29269771
2018-07-06,32.500000,33.344200,32.439701,32.982399,32.982399,15300192
2018-07-09,33.283901,33.585400,32.801498,32.922100,32.922100,11981757
2018-07-10,34.007500,34.369202,33.193401,33.645699,33.645699,28328543
2018-07-11,33.886902,33.886902,31.746300,32.590500,32.590500,28644810
2018-07-12,32.590500,33.374298,32.409599,32.771400,32.771400,23978865
2018-07-13,32.771400,32.982399,31.866899,32.168400,32.168400,31346314
2018-07-16,31.957399,32.861801,31.444799,31.625700,31.625700,34576486
2018-07-17,31.655899,32.077900,31.052900,31.625700,31.625700,36703816
2018-07-18,31.655899,31.927200,29.123400,30.148500,30.148500,48534021
2018-07-19,30.148500,30.630800,29.364599,30.389601,30.389601,14120596
2018-07-20,30.268999,31.143400,29.666100,30.841900,30.841900,11940350
2018-07-23,30.721300,31.927200,30.359501,31.686001,31.686001,14340483
2018-07-24,32.560299,36.931900,32.439701,34.007500,34.007500,128891780
2018-07-25,34.097900,34.128101,32.922100,33.103001,33.103001,26222195
2018-07-26,33.163300,34.670700,32.741199,34.248600,34.248600,43421229
2018-07-27,34.972198,36.750999,33.766300,33.977299,33.977299,77879655
2018-07-30,34.218498,35.544998,33.464802,35.213402,35.213402,45718198
2018-07-31,33.947201,34.851601,32.741199,33.072800,33.072800,73300512
2018-08-01,33.313999,33.464802,31.987499,32.289001,32.289001,27600317
2018-08-02,32.560299,32.982399,32.077900,32.801498,32.801498,28561904
2018-08-03,33.163300,33.796398,32.891998,33.283901,33.283901,20415953
2018-08-06,33.464802,33.706001,32.922100,33.103001,33.103001,17173620
2018-08-07,33.163300,33.464802,32.650799,33.163300,33.163300,13446258
2018-08-08,33.163300,33.766300,33.042702,33.374298,33.374298,13158024
2018-08-09,33.193401,34.429501,33.163300,33.977299,33.977299,19972973
2018-08-10,33.977299,33.977299,32.560299,32.801498,32.801498,16079307
2018-08-13,32.741199,32.741199,31.535299,31.655899,31.655899,16079151
2018-08-14,31.716200,32.077900,31.233801,31.354401,31.354401,14217269
2018-08-16,31.324200,31.565399,30.419800,30.510201,30.510201,14081805
