Date,Open,High,Low,Close,Adj Close,Volume
2018-08-08,349.000000,356.161011,342.847992,353.773987,350.584961,3260750
2018-08-09,354.691986,354.691986,334.675995,337.016998,333.979034,12024173
2018-08-10,338.072998,344.132996,335.226990,339.541992,336.481262,4407054
2018-08-13,338.716003,345.006012,333.299011,339.864014,336.800385,4157716
2018-08-14,339.864014,342.204987,334.217010,336.971008,333.933441,3156207
2018-08-16,336.558014,343.398987,335.319000,341.562012,338.483063,2956948
2018-08-17,341.608002,344.316986,336.191010,341.010986,337.937012,3300916
2018-08-20,341.929993,343.260986,337.247009,340.230988,337.164032,2785485
2018-08-21,334.217010,340.092987,333.390991,338.118988,335.071075,3387719
2018-08-23,341.838013,345.924011,337.980988,339.634003,336.572449,4659268
2018-08-24,339.726013,340.460999,335.135010,338.761993,335.708282,2275617
2018-08-27,339.726013,352.397003,337.338989,348.127014,344.988892,6467884
2018-08-28,351.065002,354.140991,344.683990,345.970001,342.851318,3996958
2018-08-29,347.071014,351.157013,342.251007,344.225006,341.122070,4398717
2018-08-30,346.428986,353.498993,344.914001,351.753998,348.583191,7652999
2018-08-31,348.769989,354.416992,345.234985,352.442993,349.265961,8549116
2018-09-03,355.334991,355.565002,349.321014,352.397003,349.220398,4100008
2018-09-04,351.019989,352.075989,344.959991,347.393005,344.261505,3143334
2018-09-05,344.316986,346.933990,336.282990,341.608002,338.528656,6516973
2018-09-06,343.352997,344.040985,337.980988,341.838013,338.756592,2563794
2018-09-07,343.307007,359.282990,338.623993,357.721985,354.497375,5362431
2018-09-10,357.446991,364.976013,350.928009,356.619995,353.405304,5510349
2018-09-11,356.712006,360.292999,346.566010,347.713989,344.579590,5708502
2018-09-12,349.734009,350.881989,341.378998,345.877991,342.760132,3991027
2018-09-14,347.071014,356.437012,342.480988,352.213013,349.038055,3530511
2018-09-17,349.045990,359.007996,346.244995,350.790009,347.627869,3361256
2018-09-18,349.091003,353.315002,342.066986,343.122986,340.029968,2900594
2018-09-19,343.858002,349.274994,330.820007,339.772003,336.709198,2141967
2018-09-21,335.042999,348.769989,328.019012,340.184998,337.118469,5994112
2018-09-24,340.092987,342.389008,321.821991,327.054993,324.106812,7738722
2018-09-25,329.809998,333.895996,315.852997,331.002991,328.019226,6728236
2018-09-26,333.299011,335.135010,327.927002,331.738007,328.747620,4317291
2018-09-27,331.920990,333.712006,325.631989,327.605988,324.652832,4401260
2018-09-28,327.605988,329.626007,307.726990,310.848999,308.046906,12179560
2018-10-01,311.261993,312.181000,295.377991,300.015015,297.310577,10667313
2018-10-03,299.325989,300.519989,290.466003,292.394012,289.758270,7253425
2018-10-04,289.548004,291.476013,277.428009,284.773010,282.205994,8804380
2018-10-05,283.257996,290.053009,268.015991,274.167999,271.696564,7807545
2018-10-08,274.351990,274.351990,267.190002,271.045990,268.602692,9830737
2018-10-09,272.010010,272.606995,263.516998,265.354004,262.962036,9324189
2018-10-10,265.354004,278.942993,260.946014,270.954010,268.511536,11125932
2018-10-11,265.308014,270.678986,259.156006,262.002014,259.640259,5098468
2018-10-12,264.434998,268.658997,261.359009,266.317993,263.917328,9811029
2018-10-15,266.317993,269.026001,260.808990,267.282013,264.872650,2839579
2018-10-16,268.475006,271.688995,265.536987,269.944000,267.510651,3279645
2018-10-17,272.239990,273.938995,261.359009,264.894012,262.506165,4223253
2018-10-19,263.516998,269.209991,261.313995,263.792999,261.415100,4062748
2018-10-22,265.766998,266.272003,254.197998,262.368988,260.003906,7113456
2018-10-23,259.890015,266.822998,259.843994,262.506989,260.140656,7229023
2018-10-24,266.272003,301.851013,263.196014,290.006989,287.392761,13282035
2018-10-25,281.881012,285.002991,268.246002,271.368011,268.921814,16668675
2018-10-26,272.790985,280.963013,263.516998,273.571014,271.104950,8559299
2018-10-29,274.627014,278.713013,266.272003,270.036011,267.601837,6155560
2018-10-30,270.358002,272.882996,265.674988,268.658997,266.237213,5236048
2018-10-31,268.933990,270.863007,256.079987,268.428986,266.009277,8013098
2018-11-01,269.026001,273.617004,263.838989,269.484985,267.055756,5171150
2018-11-02,269.852997,282.614990,269.484985,277.335999,274.835999,4820038
2018-11-05,276.187988,280.411987,273.617004,278.391998,278.391998,4752248
2018-11-06,279.126007,282.752991,278.115997,280.089996,280.089996,2889494
2018-11-07,283.717010,283.717010,279.079987,281.191986,281.191986,301360
2018-11-09,266.088013,278.575012,265.078003,275.223999,275.223999,9252093
2018-11-12,276.372009,280.044006,269.944000,271.963989,271.963989,6667144
